Id,RoadName,Label,Latitude,Longitude
2089,Raffles Blvd,Pan Pacific Hotel,1.291526944,103.8592061
2099,Raffles Blvd,Marina Ctr Ter,1.291472648,103.8614856
2101,Raffles Ave,AFT S'PORE FLYER,1.289384838,103.8618315
2111,Esplanade Dr,Esplanade Bridge,1.290955923,103.8545342
2119,Nicoll Highway,Opp War Memorial Pk,1.291844074,103.8553433
2141,Temasek Blvd,Suntec Twr Two,1.295765716,103.8593381
2149,Temasek Blvd,Suntec Twr Three,1.295604598,103.8595553
2151,Temasek Blvd,Suntec Convention Ctr,1.293177763,103.8578462
2159,Temasek Blvd,Opp Suntec Convention Ctr,1.293608112,103.8584067
2161,Temasek Ave,Promenade Stn,1.292685535,103.8609316
2169,Temasek Ave,Promenade Stn Exit B,1.293338368,103.8607085
2171,Temasek Ave,Opp The Ritz-Carlton,1.2907,103.8609219
2181,Parliament Pl,Supreme Ct,1.289474444,103.8509817
3011,Fullerton Rd,Fullerton Sq,1.285618409,103.8534222
3019,Collyer Quay,OUE Bayfront,1.284245,103.8531081
3021,Cecil St,Prudential Twr,1.282555246,103.849989
3031,Robinson Rd,Raffles Pl Stn Exit F,1.282074922,103.8508607
3041,Cross St,Telok Ayer Stn Exit A,1.281795094,103.8489321
3059,Raffles Quay,One Raffles Quay,1.281111,103.851461
3071,Robinson Rd,OPP SO SOFITEL S'PORE,1.279906096,103.8494003
3111,Robinson Rd,Aft Capital Twr,1.277825954,103.8481012
3129,Shenton Way,UIC Bldg,1.278070035,103.8495672
3151,Cecil St,Opp GB Bldg,1.278921246,103.8477623
3217,Shenton Way,Opp AXA Twr,1.275522189,103.8479444
3218,Shenton Way,Opp MAS Bldg,1.274078889,103.8468739
3222,Anson Rd,Hub Synergy Pt,1.273978369,103.8448956
3223,Anson Rd,Tanjong Pagar Stn Exit C,1.275703395,103.8463247
3239,Shenton Way,Shenton Way Ter,1.27464227,103.8475672
3241,Anson Rd,Mapletree Anson,1.27456,103.84537
3331,Marina Blvd,Bef Marina Gdns Dr,1.276633072,103.8607681
3339,Central Blvd,Aft Marina Gdns Dr,1.274985164,103.8595002
3341,Marina Gdns Dr,Bef Gdns by the Bay,1.2795978,103.8643377
3349,Marina Gdns Dr,Aft Gdns by the Bay,1.279656006,103.8647781
3369,Marina Gdns Dr,Marina Barrage,1.279607721,103.8698745
3371,Marina Gdns Dr,Gdns by the Bay,1.280664793,103.8662696
3381,Marina Blvd,The Sail,1.281626013,103.8530651
3391,Marina Blvd,Marina Bay Financial Ctr,1.280376603,103.8549801
3411,Marina Coastal Dr,Opp Marina Sth Pier,1.271592999,103.863009
3419,Marina Coastal Dr,Marina Sth Pier,1.271276985,103.8629769
3421,Marina Coastal Dr,Marina Bay Cruise Ctr,1.266940903,103.8596478
3501,Bayfront Ave,Marina Bay Sands Theatre,1.285004677,103.8606111
3509,Bayfront Ave,Bayfront Stn Exit B/MBS,1.28315,103.8600439
3511,Bayfront Ave,Aft Bayfront Stn Exit E,1.281947795,103.8589706
3519,Bayfront Ave,Bayfront Stn Exit A,1.281245,103.858848
3529,Central Blvd,Downtown Stn,1.279399574,103.8527877
3539,Central Blvd,Marina Bay Stn,1.277533055,103.8556161
4019,Bencoolen St,OPP BENCOOLEN STN EXIT B,1.298072169,103.8497561
4029,Bencoolen St,BEF BENCOOLEN STN EXIT A,1.299481667,103.8509267
4111,Stamford Rd,Capitol Bldg,1.293954442,103.851391
4121,Stamford Rd,SMU,1.296185441,103.8495803
4142,Hill St,Armenian Ch,1.293098264,103.8496599
4143,Hill St,Stamford Ct,1.294116408,103.8502061
4149,Hill St,Grand Pk City Hall,1.292761324,103.8498374
4151,Victoria St,Cath Of The Good Shepherd,1.295337778,103.8511397
4159,Victoria St,Aft Chijmes,1.29489485,103.8510814
4167,Nth Bridge Rd,City Hall Stn Exit B,1.292500065,103.8514532
4168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.292082215,103.8512599
4179,Bras Basah Rd,AFT BRAS BASAH STN EXIT A,1.296479163,103.8514716
4211,River Valley Rd,Clarke Quay,1.290436111,103.8471244
4219,River Valley Rd,Opp Clarke Quay,1.290968028,103.8468678
4222,Eu Tong Sen St,Clarke Quay Stn Exit E,1.288989622,103.8470898
4223,Hill St,Old Hill St Police Stn,1.290844761,103.848579
4229,Hill St,High St Ctr,1.290448308,103.8487512
4239,New Bridge Rd,Opp Clarke Quay Stn,1.288827179,103.8474938
4249,Nth Bridge Rd,Opp The Treasury,1.290430394,103.8502622
4251,Nth Boat Quay,Opp High St Ctr,1.289738333,103.8488847
4311,Clemenceau Ave,Aft River Valley Rd,1.294645753,103.8439214
4321,Clemenceau Ave,Shell HSE,1.292140008,103.8430365
4329,Clemenceau Ave,Opp Shell HSE,1.291970571,103.8432838
4331,River Valley Rd,BEF FORT CANNING STN,1.291839394,103.8450409
4339,River Valley Rd,FORT CANNING STN EXIT B,1.292211,103.845005
5009,Nth Canal Rd,Opp OCBC Ctr,1.285925541,103.8492364
5012,Eu Tong Sen St,Bef Pearl'S Hill Terr,1.281545833,103.8408772
5013,Eu Tong Sen St,Chinatown Stn Exit C,1.284069799,103.8429987
5019,New Bridge Rd,Aft Duxton Plain Pk ,1.281183889,103.84105
5022,Eu Tong Sen St,Aft Chinatown Stn Exit D,1.285710899,103.844372
5023,Eu Tong Sen St,Opp Hong Lim Pk,1.286929284,103.8454038
5029,Sth Bridge Rd,Boat Quay,1.287122834,103.8481978
5039,New Bridge Rd,New Bridge Ctr,1.282938191,103.8425428
5049,New Bridge Rd,Chinatown Pt,1.285311148,103.8445507
5059,New Bridge Rd,Hong Lim Pk,1.286764201,103.8457504
5069,New Bridge Rd,Outram Pk Stn Exit H,1.2802763,103.8402979
5129,Upp Pickering St,Hong Lim Pk,1.286011667,103.8463467
5131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381
5189,Sth Bridge Rd,Opp Sri Mariamman Tp,1.282091396,103.8452806
5199,Sth Bridge Rd,Opp Hong Lim Cplx,1.284514558,103.8466605
5239,Neil Rd,Bef The Pinnacle@Duxton,1.27854113,103.8415105
5241,Kreta Ayer Rd,Opp Blk 333,1.280719882,103.8422749
5259,Neil Rd,Aft Kreta Ayer Rd,1.279794478,103.8426271
5269,Sth Bridge Rd,Maxwell Rd FC,1.280977473,103.8446005
5271,Tg Pagar Rd,Opp Fairfield Meth Ch,1.279753295,103.8438221
5319,Church St,OCBC Ctr,1.284437,103.849114
5411,Tg Pagar Rd,Tg Pagar Plaza,1.275191657,103.8430919
5419,Tg Pagar Rd,The Amara,1.274706695,103.8431868
5421,Tg Pagar Rd,Aft Craig Rd,1.277774706,103.8434635
5429,Tg Pagar Rd,Bef Craig Rd,1.277694131,103.8437065
5431,Hoe Chiang Rd,TOWER 15,1.27408,103.8420461
5519,Cantonment Rd,Opp Maritime Hse,1.275534722,103.8411269
5521,Cantonment Rd,Maritime Hse,1.276768611,103.8405922
5629,Cantonment Rd,Opp Southpoint,1.273211389,103.84187
5631,Cantonment Link,Blk 16,1.273460559,103.8403472
5641,Keppel Rd,Bef Cantonment Rd,1.272723931,103.8414062
5649,Keppel Rd,Opp Customs Port Br HQ,1.272384212,103.8409391
5651,Tg Pagar Rd,Opp Fuji Xerox Twrs,1.273218611,103.8430731
6011,Outram Rd,Opp Outram Pk Stn,1.28166,103.8380139
6029,Outram Rd,Outram Pk Stn,1.281770412,103.8383828
6031,Chin Swee Rd,Opp Blk 13,1.286070556,103.8387917
6039,Chin Swee Rd,Blk 8,1.287059979,103.8396256
6049,Outram Rd,BEF OUTRAM FLYOVER,1.284748569,103.8351771
6051,Tiong Bahru Rd,Blk 55,1.28475981,103.8340567
6069,Outram Rd,Aft Furama RiverFront,1.286231577,103.8349616
6071,Zion Rd,Blk 2B,1.286858595,103.8336003
6081,Zion Rd,Blk 94,1.288370864,103.8334988
6129,Kim Seng Rd,Grand Copthorne Hotel,1.290781621,103.8344092
6131,Zion Rd,The Boys' Brigade HQ,1.291524722,103.8322275
6141,Havelock Rd,Holiday Inn Atrium,1.289633009,103.8338124
6149,Havelock Rd,Opp Holiday Inn Atrium,1.289840457,103.8341153
6151,Havelock Rd,Hotel Miramar,1.288709768,103.8373728
6159,Havelock Rd,Opp Hotel Miramar,1.289093854,103.8368794
6161,Havelock Rd,Blk 2,1.289017057,103.8399429
6169,Havelock Rd,River Pl Condo,1.289370789,103.8399894
6171,Upp Cross St,Opp State Ct,1.286101944,103.8425356
6189,Havelock Rd,Ctrl Sq,1.287791365,103.8432943
7011,Selegie Rd,Peace Ctr,1.300996991,103.8498102
7021,Selegie Rd,Selegie Ctr,1.303245216,103.8499578
7031,S'goon Rd,Tekka Ctr,1.305720833,103.8512058
7111,S'goon Rd,Broadway Hotel,1.308793665,103.8531752
7211,S'goon Rd,Aft Farrer Pk Stn Exit G,1.313137477,103.8563561
7221,S'goon Rd,Sri Vadapathira K Tp,1.314966,103.857819
7231,Kitchener Rd,Bef Tai Hoe Hotel,1.309658889,103.8573711
7241,Lavender St,Bef S'Goon Rd,1.315571421,103.8590062
7249,Lavender St,Aft Kempas Rd,1.315368056,103.8594669
7319,Jln Besar,Aft Allenby Rd,1.310388333,103.8587067
7329,Jln Besar,Hoa Nam Bldg,1.312844726,103.8598909
7331,Kitchener Rd,Aft King George's Ave,1.308249945,103.8589096
7351,Lavender St,ARC 380,1.313518333,103.8605453
7359,Lavender St,OPP ARC 380,1.313682531,103.8607145
7361,Lavender St,Bef Kallang Bahru,1.311676361,103.8618948
7369,Lavender St,Aft Kallang Bahru,1.311408056,103.8623789
7371,Lavender St,Aft Kallang Rd,1.3095075,103.8635014
7379,Lavender St,Aperia/Bef Kallang Rd ,1.310173367,103.8633823
7419,Jln Besar,Opp Veerasamy Rd,1.306530241,103.856163
7517,Bencoolen St,IBIS S'PORE ON BENCOOLEN,1.301452162,103.8524778
7518,Bencoolen St,OPP NAFA CAMPUS 3,1.300958284,103.8521118
7529,Jln Besar,JLN BESAR STN EXIT A,1.304319063,103.8550156
7531,Rochor Canal Rd,Rochor Stn,1.303656444,103.8525732
7539,Sungei Rd,Opp Rochor Stn,1.304613007,103.852001
7551,Rochor Rd,Fu Lu Shou Cplx,1.301719758,103.8546132
7561,Middle Rd,Bef Waterloo St,1.299454465,103.8526798
7569,Middle Rd,Aft Waterloo St,1.299495313,103.853014
7571,Middle Rd,SUNSHINE PLAZA,1.300634446,103.8511401
7589,Ophir Rd,Ch of Our Lady of Lourdes,1.303206098,103.8555
8011,Clemenceau Ave,Opp Haw Par Glass Twr,1.29706985,103.8436103
8019,Clemenceau Ave,Aft Haw Par Glass Twr,1.296246337,103.8440701
8031,Penang Rd,Dhoby Ghaut Stn Exit B,1.298311538,103.845257
8041,Orchard Rd,YMCA,1.298110142,103.8478064
8057,Orchard Rd,Dhoby Ghaut Stn,1.299309973,103.8452902
8058,Orchard Rd,Aft Dhoby Ghaut Stn,1.298958343,103.8465412
8069,Bras Basah Rd,BENCOOLEN STN EXIT B,1.298213823,103.8493613
8079,Prinsep St,Sch of the Arts,1.299214444,103.8491033
8111,Penang Rd,Winsland Hse,1.299869287,103.8409375
8121,Somerset Rd,Somerset Stn,1.300275693,103.8387762
8137,Orchard Rd,Orchard Plaza,1.300739684,103.841005
8138,Orchard Rd,Concorde Hotel S'pore,1.300478573,103.841847
9011,Orchard Turn,Opp Ngee Ann City,1.302113351,103.8343167
9022,Orchard Blvd,Bef Orchard Stn Exit B,1.302528348,103.8323978
9023,Orchard Turn,Opp Orchard Stn/ION,1.303237273,103.8325418
9037,Orchard Rd,Opp Mandarin Orchard,1.302340042,103.8370125
9038,Orchard Rd,Opp Somerset Stn,1.301542625,103.8385248
9047,Orchard Rd,Orchard Stn/Tang Plaza,1.304460652,103.8329447
9048,Orchard Rd,Orchard Stn/Lucky Plaza,1.303866844,103.8341307
9059,Grange Rd,Natl Youth Council,1.300442518,103.836238
9111,Orchard Blvd,Opp Four Seasons Hotel,1.304537526,103.8291453
9121,Orchard Blvd,Bef Tomlinson Rd,1.303973792,103.8269965
9131,Grange Rd,Grange Residences,1.30392,103.8233381
9139,Grange Rd,Aft Cuscaden Rd,1.304199419,103.8235479
9141,Napier Rd,British Council,1.305435,103.8217767
9149,Napier Rd,Opp British Council,1.306089814,103.8212215
9159,Tanglin Rd,Aft Tomlinson Rd,1.306026376,103.8256804
9169,Orchard Rd,Delfi Orchard,1.307013533,103.8283551
9179,Orchard Rd,Royal Thai Embassy,1.305879662,103.83049
9191,Tomlinson Rd,The Regent S'pore,1.304886531,103.8254976
9212,Scotts Rd,Royal Plaza On Scotts,1.307022384,103.8326552
9213,Scotts Rd,Thong Teck Bldg,1.307838056,103.8330508
9219,Scotts Rd,Far East Plaza,1.307319997,103.8331609
10009,Bt Merah Ctrl,Bt Merah Int,1.282101559,103.8172248
10011,New Bridge Rd,BEF NEIL RD,1.277738059,103.8374971
10017,Eu Tong Sen St,Aft Hosp Dr,1.278320466,103.8376257
10018,Eu Tong Sen St,Outram Pk Stn Exit F/SGH,1.279008197,103.8386036
10021,Neil Rd,Blk 3,1.277448379,103.8383889
10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.276058348,103.8351907
10049,Kg Bahru Rd,OPP KAMPONG BAHRU TER,1.276233024,103.8348379
10051,Jln Bt Merah,Blk 149,1.277411635,103.8321441
10059,Jln Bt Merah,Opp Blk 149,1.277396642,103.8327518
10061,Jln Bt Merah,Blk 140,1.278604722,103.8294864
10069,Jln Bt Merah,Opp Blk 140,1.278554722,103.8300825
10071,Jln Bt Merah,Blk 111,1.280453094,103.8263892
10079,Jln Bt Merah,Blk 201,1.280395014,103.8270891
10081,Jln Bt Merah,Opp Blk 120,1.282278354,103.8224174
10089,Jln Bt Merah,Blk 119,1.282923322,103.8216566
10091,Jln Bt Merah,Bt Merah Town Ctr,1.283941086,103.8178396
10099,Jln Bt Merah,Opp Bt Merah Town Ctr,1.284209239,103.8176572
10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.285061952,103.8137833
10109,Jln Bt Merah,BT MERAH SEC SCH,1.285353157,103.8137053
10111,Jln Bt Merah,Opp Blk 28,1.285928351,103.8093541
10119,Jln Bt Merah,Opp Pacific Tech Ctr,1.28598009,103.8112252
10121,Kim Tian Rd,Blk 126 CP,1.282599246,103.8289054
10129,Kim Tian Rd,Blk 121,1.28232,103.8285719
10131,Jln Bt Merah,Opp Blk 2,1.286191414,103.8068655
10139,Jln Bt Merah,Blk 1,1.286351354,103.8081
10141,Tiong Bahru Rd,Blk 18,1.285838471,103.8323818
10149,Tiong Bahru Rd,Blk 1,1.286067975,103.8328338
10151,Tiong Bahru Rd,Ctrl Green Condo,1.285720484,103.8285292
10161,Tiong Bahru Rd,Opp Tiong Bahru Stn,1.285931354,103.8266897
10169,Tiong Bahru Rd,Tiong Bahru Stn,1.285999614,103.8274812
10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,1.28736808,103.82346
10179,Tiong Bahru Rd,Tiong Bahru Pk,1.287223333,103.8239583
10181,Tiong Bahru Rd,BEF AR-RABITAH MQUE,1.288503994,103.8210974
10189,Tiong Bahru Rd,Blk 104A CP,1.288588052,103.8218319
10191,Tiong Bahru Rd,Blk 78,1.28860026,103.8190312
10199,Tiong Bahru Rd,Delta Swim Cplx,1.288757233,103.8193662
10201,Tiong Bahru Rd,Opp Redhill Stn,1.289281445,103.8166285
10209,Tiong Bahru Rd,Redhill Stn,1.289546317,103.8167289
10211,Leng Kee Rd,Porsche Ctr S'pore,1.290755,103.8114417
10219,Leng Kee Rd,Opp Motor Image,1.290895267,103.8119142
10221,Ganges Ave,Ganges Ctr,1.290329066,103.8311179
10229,Ganges Ave,Opp Harvest Mansions,1.290521378,103.8317819
10231,Ganges Ave,Blk 51 CP,1.290418509,103.827881
10239,Ganges Ave,Blk 79,1.290606888,103.828653
10241,Alexandra Rd,Gan Eng Seng Sec Sch,1.290616667,103.8236233
10249,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.290881389,103.8240778
10261,Alexandra Rd,Delta Sports Hall,1.290903358,103.8204723
10269,Alexandra Rd,Opp Delta Sports Hall,1.291253319,103.8205758
10271,Alexandra Rd,Opp Tanglin View,1.29116,103.8175767
10279,Alexandra Rd,Tanglin View,1.291513732,103.8175766
10281,Alexandra Rd,SIS Bldg,1.291538333,103.8144517
10289,Alexandra Rd,Opp SIS Bldg,1.291869975,103.8144064
10291,Alexandra Rd,Bef Dawson Rd,1.292158553,103.8106587
10299,Alexandra Rd,Aft Dawson Rd,1.292334985,103.8114649
10321,Tanglin Rd,Aft Margaret Dr,1.294283329,103.8158784
10329,Tanglin Rd,Crescent Girls' Sch,1.293646713,103.8159746
10331,Henderson Rd,Bef Bt Merah Ctrl,1.281363066,103.8183442
10339,Henderson Rd,Aft Bt Merah Ctrl,1.281158351,103.8185725
10341,Henderson Rd,Opp Blk 116,1.284846396,103.820593
10349,Henderson Rd,Blk 116,1.284983341,103.8210415
10351,Henderson Rd,Bef Tiong Bahru Rd,1.286755018,103.8220499
10359,Henderson Rd,Aft Tiong Bahru Rd,1.287238333,103.822593
10361,Lower Delta Rd,Cendex Ctr,1.280380921,103.8235303
10369,Lower Delta Rd,Opp Cendex Ctr,1.280374712,103.8238734
10371,Lower Delta Rd,Blk 129,1.283650723,103.8245027
10379,Lower Delta Rd,Blk 25B,1.283736034,103.8248952
10381,Lower Delta Rd,Opp Blk 48,1.289069722,103.8255941
10389,Lower Delta Rd,Blk 48,1.28875833,103.8257346
10391,Kg Bahru Rd,Opp Melati Blk 2,1.276271053,103.8312564
10399,Kg Bahru Rd,Melati Blk 2,1.275881663,103.8301945
10401,Hoy Fatt Rd,Shriro Hse,1.288167299,103.8116785
10409,Hoy Fatt Rd,Blk 50,1.287882218,103.8109932
10411,Hoy Fatt Rd,Opp Blk 53,1.289129795,103.8128084
10419,Hoy Fatt Rd,Blk 52,1.288420242,103.8125755
10421,Lengkok Bahru,Blk 63B,1.288970616,103.8150354
10429,Lengkok Bahru,Blk 54,1.289277906,103.8140481
10431,Lengkok Bahru,ENABLING VILLAGE,1.287083844,103.8139987
10439,Lengkok Bahru,OPP ENABLING VILLAGE,1.287479569,103.8141894
10441,Lengkok Bahru,Opp Blk 44,1.286568989,103.8116062
10449,Lengkok Bahru,Blk 44,1.286665525,103.8119538
10451,Redhill Rd,Opp Blk 71,1.287623803,103.817256
10459,Redhill Rd,Blk 72,1.287547234,103.8163992
10461,Kay Siang Rd,Aft Margaret Dr,1.296805974,103.8116914
10469,Kay Siang Rd,Bef Margaret Dr,1.296684,103.8121692
10471,Kay Siang Rd,Bef Tanglin Rd,1.296799931,103.8146822
10479,Kay Siang Rd,Aft Tanglin Rd,1.296681,103.8154738
10481,Redhill Cl,Opp Blk 73,1.287841955,103.8179716
10489,Redhill Cl,Blk 73,1.288116389,103.8177839
10499,Spooner Rd,KAMPONG BAHRU TER,1.275854004,103.83401
10501,Jln Bt Merah,Blk 104,1.281058454,103.8252807
10519,Delta Rd,Blk 4,1.291723031,103.8261095
10599,Jln Rumah Tinggi,Opp Blk 36,1.28883435,103.80925
10651,Bt Merah Ctrl,Blk 161,1.28329993,103.8154767
10659,Bt Merah Ctrl,Blk 1003,1.283623333,103.8147283
11009,Ghim Moh Rd,Ghim Moh Ter,1.311067355,103.7893224
11019,Jln Bt Merah,Pk Hotel Alexandra,1.286796325,103.8056568
11021,Queensway,Aft Queenstown NPC HQ,1.289418056,103.8022869
11029,Queensway,Blk 166,1.290134722,103.8020211
11031,Queensway,Opp Queen's Cl,1.291196667,103.800455
11039,Queensway,Blk 19,1.292457629,103.7999868
11041,Queensway,Aft C'wealth Dr,1.296245,103.7995233
11049,Queensway,Opp Blessed Sacrament Ch,1.295460937,103.7995255
11051,Queensway,Opp Queenstown Polyclinic,1.298721667,103.800298
11059,Queensway,Queenstown Polyclinic,1.298828928,103.8009739
11061,Queensway,Opp Queensway Sec Sch,1.302657778,103.8011869
11069,Queensway,Queensway Sec Sch,1.302368532,103.8016176
11071,Queensway,Blk 97,1.306213056,103.8017094
11079,Queensway,Opp Blk 95,1.305441389,103.8018525
11081,Queensway,Viz Holland,1.308519722,103.8025803
11089,Queensway,Opp Holland Hill Lodge,1.309461355,103.8033409
11091,Farrer Rd,Tulip Gdn,1.312194441,103.8036738
11099,Farrer Rd,Opp Tulip Gdn,1.313053333,103.8043767
11101,Farrer Rd,Farrer Rd Mkt,1.316149711,103.8059601
11109,Farrer Rd,Spanish Village,1.315524722,103.8057431
11111,Farrer Rd,Farrer Rd Stn Exit B,1.317801573,103.8077187
11119,Farrer Rd,Farrer Rd Stn Exit A,1.317478335,103.8078561
11131,C'wealth Ave,Queens Condo,1.292884999,103.8070669
11139,C'wealth Ave,Blk 53A CP,1.293198611,103.8074469
11141,C'wealth Ave,Queenstown Stn Exit A/D,1.294637051,103.8058251
11149,C'wealth Ave,Queenstown Stn Exit B/C,1.295064071,103.8059628
11151,C'wealth Ave,Blk 42,1.298635858,103.8024759
11159,C'wealth Ave,Aft Ch Of Our Saviour,1.298004408,103.8036266
11161,C'wealth Ave,C'Wealth Stn Exit A/D,1.302133056,103.7983908
11169,C'wealth Ave,C'Wealth Stn Exit B/C,1.302705,103.7983817
11171,C'wealth Ave,Opp Blk 7B,1.305356667,103.7947972
11179,C'wealth Ave,Blk 8,1.306275214,103.7942794
11181,C'wealth Ave,Opp Blk 43,1.307223333,103.7922764
11189,C'wealth Ave,Blk 43,1.307401389,103.7925422
11191,C'wealth Ave West,Buona Vista Stn,1.308016408,103.7883732
11199,C'wealth Ave West,Blk 15,1.308379707,103.7884315
11201,Holland Rd,CSC Dempsey Clubhse,1.306926429,103.8118645
11209,Holland Rd,Opp Peirce Rd,1.308172808,103.8103835
11211,Holland Rd,Aft Peirce Rd,1.308387799,103.8093952
11219,Holland Rd,Great Eastern Mansions,1.309885061,103.8071641
11221,Holland Rd,Lien Twrs,1.310022253,103.8054441
11229,Holland Rd,Les Jardins De Holland,1.310600659,103.8052254
11231,Holland Rd,Aft Estoril Mansions,1.311153163,103.8011992
11239,Holland Rd,Fairlodge,1.311528574,103.8016552
11259,Holland Dr,Opp Blk 21,1.311198879,103.79274
11261,Holland Rd,Holland Village,1.312231684,103.7944462
11269,Holland Rd,Opp Holland Village,1.312561126,103.794538
11271,Holland Rd,Aft East Sussex Lane,1.314734444,103.7900842
11279,Holland Rd,Aft Coronation Rd West,1.314668789,103.7906926
11281,Holland Rd,Aft Tan Boon Chong Ave,1.316226944,103.7885219
11289,Holland Rd,Opp Tan Boon Chong Ave,1.316188914,103.7890434
11291,Holland Rd,Cold Storage Jelita,1.317927778,103.7859233
11299,Holland Rd,Opp Cold Storage Jelita,1.318269756,103.7855884
11301,Sixth Ave,Hse No. 578,1.318039721,103.7879007
11309,Sixth Ave,Hse No. 589,1.318624439,103.7884299
11311,Sixth Ave,Hse No. 532,1.319896389,103.7891869
11319,Sixth Ave,Opp Hse No. 516,1.32030638,103.7895997
11321,Sixth Ave,Opp Regent Villa,1.321231389,103.7901036
11329,Sixth Ave,Regent Villa,1.322361397,103.7909809
11331,Sixth Ave,Opp Dynasty Gdn II,1.323209188,103.7914467
11339,Sixth Ave,Dynasty Lodge,1.323986389,103.7920472
11341,Sixth Ave,Garlick Ville,1.325515062,103.7928279
11349,Sixth Ave,Opp Garlick Ville,1.325666111,103.7930739
11351,Ghim Moh Rd,Blk 13,1.309345712,103.7894511
11359,Ghim Moh Rd,Opp Blk 13,1.309310226,103.7896861
11361,Nth Buona Vista Rd,Buona Vista Stn Exit C,1.306496986,103.7905812
11369,Nth Buona Vista Rd,Buona Vista Stn Exit D,1.306325964,103.7908483
11379,Nth Buona Vista Rd,Buona Vista Ter,1.309170025,103.7923632
11381,Holland Dr,Blk 10A,1.308411379,103.7932829
11389,Holland Dr,Blk 46,1.30906501,103.7929322
11401,Holland Ave,Holland V Stn/Blk12,1.309067222,103.7950744
11409,Holland Ave,Blk 9,1.307644167,103.7943258
11419,Holland Ave,Holland V Stn Exit A,1.311029814,103.796044
11429,C'wealth Dr,Opp Blk 115B,1.30454,103.7983633
11439,C'wealth Dr,Blk 92,1.306064722,103.8002978
11441,C'wealth Dr,Blk 58,1.297804167,103.7975406
11449,C'wealth Dr,Blk 37B,1.298405278,103.7976033
11451,C'wealth Dr,Blk 72,1.300349722,103.7970728
11459,C'wealth Dr,Blk 50,1.300970556,103.7968519
11469,Margaret Dr,Queensway Sec Sch,1.301135034,103.8018858
11471,Margaret Dr,Opp The Fisherman Ch,1.299518926,103.8031516
11479,Margaret Dr,The Fisherman Ch,1.299380751,103.8037199
11481,Margaret Dr,Queenstown Lib,1.298115189,103.8060054
11489,Margaret Dr,Opp Queenstown Lib,1.298453515,103.8049972
